"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19","Dim.20","Dim.21","Dim.22","Dim.23","Dim.24","Dim.25","Dim.26","Dim.27","Dim.28","Dim.29","Dim.30","Dim.31","Dim.32","Dim.33","Dim.34","Dim.35","Dim.36","Dim.37","Dim.38","Dim.39","Dim.40","Dim.41","Dim.42","Dim.43","Dim.44","Dim.45","Dim.46","Dim.47","Dim.48","Dim.49","Dim.50"
"ntellsSinceElicit",-0.532067527155821,0.72313367447427,-0.0290648158933647,0.0354460273237195,0.0590571395820111,0.0415624884281139,0.134596305054625,0.124500592857586,0.199458549241732,0.112322127721426,0.130578631393672,-0.0638699467161632,-0.0778642760249938,-0.114882452423731,0.0837336604020347,0.0160767803354665,0.0776734042365715,0.0213833212875872,0.101262335803588,-0.0179742091645624,-0.0502218327400825,0.000944180870600677,0.0324900309702106,0.0200651088854617,-0.0259685828559384,0.0147302234341309,0.000233591760373148,-0.00256191475674987,-0.0100544191536806,-0.00915036659592259,0.0302764823442088,-0.00119623457204375,-0.0244870632917592,0.00342198458579619,0.0143442394551499,0.011266521620539,0.0374115277480155,0.000539891696240763,-0.0141482412566606,0.0244907664549459,-0.0100373944296343,-0.00713792844619752,0.0137169629610478,-0.0136250158824577,0.0108921215294855,0.0275661899327086,0.0234859485417956,-0.00754378847835779,-0.020118261644413,0.0305022899559785
"ntellsSinceElicitKC",-0.516578853970357,0.730749151640317,-0.0428632368885109,0.0466324618068108,0.0861551982867197,0.0581349153837448,0.0546593849710695,0.117756111874398,0.199171960294851,0.103043938194305,0.126743693236122,-0.0580415515474884,-0.0504259694875227,-0.11276816000107,0.0727455153472859,0.00699768003417189,0.080812179902823,0.0212514726560832,0.116100508003579,-0.0228269064079865,-0.0483568754383693,0.00730773040936555,0.00689045673747473,0.0373913782848277,-0.0324659782253524,0.0182741886687996,0.0180620467618679,-0.00366821659860753,-0.00768663436698492,-0.00713098195619602,0.0439954455239212,-0.0138160460940677,-0.0248112923021117,0.0261100950193519,0.0212643196266921,0.0232359095484368,0.0638621698192488,-0.0134350199612755,-0.00820009818349006,0.0373036757150877,-0.0234022946118923,-0.0213469883882552,0.0188116028698062,-0.0156747259478574,0.00746843606401788,0.0297184104055221,0.015996331192483,-0.0153435553853145,-0.0216567694965514,0.0120725205087663
"nElicitSinceTell",0.299149040732014,-0.11797852083245,-0.101580424529989,-0.116529860451163,-0.0849647274494773,-0.125774341969124,0.649017132496886,0.151335333478127,0.0491744126758134,0.122561754525366,0.0383875414784935,-0.00898897149051658,0.164552618001602,-0.0132820305894696,-0.0679143581533885,-0.09147922770135,0.0547971037397288,0.012038855025638,0.126829666647685,-0.0756358137972104,-0.0205242516293764,0.064953242645929,0.0089796191501898,0.0901447565310013,-0.100092826442792,-0.0281999946203457,-0.0307450850170739,-0.0301279551189586,0.0841883309335591,0.262872329170453,0.0225831847853607,-0.0660118615222272,0.100389454325996,0.197481772346116,-0.0879069237144263,0.0697910087652263,0.169182135927855,-0.0328287561330908,0.110247881708877,0.0293519384154725,-0.195434269638452,-0.0900651465815572,0.0475018977664179,-0.0453061518643696,-0.0796894197201805,-0.0402775178022471,-0.024888537957693,-0.0266310766745255,0.00363209616480431,-0.0828242518777165
"nElicitSinceTellKC",0.302018935751608,-0.120238246194724,-0.0988329310018956,-0.117216389910722,-0.089773859469874,-0.126502313658161,0.649996098910341,0.150695926640479,0.0487692353399832,0.123380428308924,0.0409486701560027,-0.00754718061240503,0.162762136697285,-0.0147659534348984,-0.0667372822609263,-0.091771455320601,0.0560467836744564,0.0124036108583416,0.126307229673184,-0.0755337429488203,-0.0204228227609752,0.064180520373832,0.00875568048054508,0.0921658860916417,-0.10027051959796,-0.0277751999234435,-0.0299471432338427,-0.0301599525304241,0.0831314731953231,0.261710553882724,0.0227454865108018,-0.0652239312864921,0.0998072999666764,0.195877396132704,-0.0882997166045534,0.0689719671557267,0.166745529065682,-0.0322052398891624,0.109484649462022,0.0278338059278361,-0.193437429571364,-0.0893816335465195,0.0466867031854899,-0.0447485038473349,-0.0792769692326729,-0.0404861155463167,-0.02683030115597,-0.0272110845118211,0.00496121503124039,-0.0822137580252725
"pctElicit",0.460812275979659,-0.618762692146589,-0.0865424432201878,-0.0865255807110899,-0.0478883782926103,-0.132207670634487,0.406961950559614,0.121084155675684,0.252745046333491,0.0522291202912191,0.0847261378464865,-0.0820667062425579,0.00932960631192205,-0.0520719147381838,0.0303805687668977,-0.0249947623081769,0.0321991140410915,0.0169720091772777,0.0865320723636777,-0.0653529195877085,-0.0354222417081832,0.00536794867168775,-0.049886432947209,-0.0489933357153043,0.0219226919390331,0.00273750522928085,0.0060387928631005,-0.0190228856529976,-0.0505451388878683,-0.0835133646315831,0.0489404028407838,-0.0196227001013218,-0.0695212935708019,-0.0296191695627047,0.0561475188846277,0.0131244634270076,0.00369593120679838,-0.0233316923646044,-0.0336594308998042,0.0290329437257348,-0.0122321051082686,0.0249341346016514,0.0128913305300917,0.0284547136091714,0.00775644081284486,0.0194160425379022,0.0163071064014725,-0.0289839925707363,-0.0465469454383257,-0.0031455511334322
"pctElicitKC",0.36568309412972,-0.578358172815632,-0.0570684916948951,-0.0940895070516623,-0.0829483705872848,-0.168040785099804,0.554265547122463,0.123308094231489,0.227809066850469,0.0631020951068046,0.0668022698448612,-0.0974946954578036,-0.0258143091561872,-0.0578359852388422,0.0557734623425323,-0.0378649317869393,0.0184056036754624,0.00569347971491455,0.0553374478644312,-0.0479943215588473,-0.0393018942383675,-0.00520736551907768,0.0286715347618503,-0.08187804474926,0.0238238979496627,-0.0195244523651208,-0.050878250055585,-0.049965757445135,-0.045654073156375,-0.0330422998700965,0.026641495105981,0.021070505903801,-0.0369886636442615,-0.0545848400424968,0.0193302203608759,-0.00920718563363631,-0.0697176244826248,0.00798580682612048,-0.0322559497919961,-0.019524214917667,0.0155919120623503,0.0590445562743454,-0.00355086992353041,0.0377459474111876,0.00313172153036186,-0.0149269554497191,0.0110406657191288,-0.00900025876838796,-0.0215393840982627,0.00634781199550752
"pctElicitSession",0.460812275979659,-0.618762692146588,-0.0865424432201867,-0.0865255807110889,-0.0478883782926104,-0.132207670634489,0.406961950559614,0.121084155675684,0.25274504633349,0.0522291202912192,0.0847261378464865,-0.0820667062425574,0.00932960631192286,-0.052071914738184,0.0303805687668978,-0.0249947623081768,0.0321991140410905,0.0169720091772772,0.0865320723636768,-0.0653529195877088,-0.0354222417081826,0.00536794867168711,-0.0498864329472087,-0.0489933357153042,0.0219226919390333,0.00273750522928065,0.00603879286310045,-0.0190228856529978,-0.050545138887868,-0.0835133646315824,0.0489404028407837,-0.0196227001013216,-0.0695212935708013,-0.0296191695627049,0.0561475188846271,0.0131244634270073,0.00369593120679846,-0.0233316923646046,-0.0336594308998042,0.0290329437257349,-0.0122321051082688,0.0249341346016514,0.0128913305300919,0.0284547136091712,0.00775644081284479,0.019416042537902,0.0163071064014725,-0.0289839925707363,-0.0465469454383254,-0.00314555113343189
"pctElicitKCSession",0.36568309412972,-0.578358172815632,-0.0570684916948914,-0.0940895070516628,-0.0829483705872862,-0.168040785099804,0.554265547122464,0.12330809423149,0.227809066850469,0.0631020951068047,0.0668022698448606,-0.0974946954578038,-0.0258143091561868,-0.0578359852388422,0.0557734623425321,-0.0378649317869396,0.0184056036754622,0.00569347971491426,0.0553374478644304,-0.047994321558847,-0.0393018942383673,-0.00520736551907744,0.0286715347618505,-0.0818780447492607,0.0238238979496636,-0.0195244523651216,-0.0508782500555853,-0.0499657574451354,-0.0456540731563751,-0.0330422998700963,0.0266414951059808,0.0210705059038014,-0.0369886636442613,-0.0545848400424971,0.0193302203608756,-0.00920718563363697,-0.0697176244826257,0.00798580682612078,-0.0322559497919964,-0.0195242149176677,0.0155919120623509,0.0590445562743462,-0.00355086992353078,0.0377459474111884,0.00313172153036148,-0.0149269554497197,0.0110406657191281,-0.00900025876838779,-0.0215393840982621,0.00634781199550659
"nTellSession",0.149981217385373,0.824404388355203,0.207645393909848,0.0353870530928943,0.0471639842349459,0.181207902034429,-0.328131507910663,-0.0555293410375266,0.00208006280550965,-0.0433636421856174,-0.0520804111091159,-0.105929560433447,-0.0132234851402238,0.0167955722746915,0.122502501341888,0.105078352616784,0.0193683035483859,-0.00496051294922797,-0.0119579048695162,0.0121809028893863,-0.0238251661051051,0.0130666632957745,0.0343826494479043,-0.0071407487041103,-0.00594960112456545,-0.00808424583446741,-0.044598084302417,-0.0238606861155468,-0.0184475875584163,-0.0159602175576999,-0.00574521565545616,0.0187137605225543,0.0349251275365151,-0.00287963364267512,-0.0221995430330008,-0.0256025299303969,-0.0506711288842564,0.0208527721701376,-0.0027191386373197,-0.0363088555909743,0.0187727231967398,0.0400604110510786,-0.00848318822919245,0.0153863157549681,-0.00388139419459262,-0.0441954293463417,-0.0131268313344458,0.00160064530365117,0.0216273854025356,-0.0400272864889883
"nTellKCSession",0.187503948867515,0.79240375965789,0.190911046847195,0.0384297138087415,0.0469096364334224,0.183793780361487,-0.414756661528441,-0.0611852762949827,0.00758462109903524,-0.0451350434960535,-0.0410261555126593,-0.0798464041082794,0.0258625833755994,0.0282332944593423,0.0811718522589635,0.106423777395277,0.0271832708054451,0.00560968103829618,0.0102237621293083,0.000912910111868961,-0.0163505361726671,0.0235947047445627,-0.0241186501875823,0.0247439531590555,-0.0139279740983283,0.00541411105615895,-0.00310737519357221,-0.0101444743583693,-0.0222209227647767,-0.0419434396684701,0.0112289252446849,-0.0157724583532875,0.0118074736296564,0.0209023909480629,0.00295165353903715,-0.00738916319171612,-0.0013984688749017,-0.00326005348135821,-0.00425135000889682,-0.00425710185871132,-0.00992893507718144,0.027918762888334,0.00452244394498299,0.0163125410670685,-0.0029411225502394,-0.028141410190515,-0.0195192703195167,-0.0104169376960231,0.0112484161705662,-0.0568946129412727
"kcOrdering",0.646467828853893,0.681071035443075,0.226898552119984,-0.0434194360913401,-0.00996191468358007,0.0837846247837389,-0.00412713345239465,-0.0043496304545343,-0.0384291319777332,0.0131631144656179,-0.0393362151022458,-0.0949736364940103,0.0310496678027598,0.0572012282256475,0.0752972451638027,0.104465155160865,0.0285155796504935,0.00553527079979456,0.0369974255775238,0.00996706904361347,-0.0112383586004901,0.0320197007308251,-0.00749012138605098,0.0124824173975373,-0.0129165045415801,0.00390144779855591,-0.0130587252639156,-0.0215667333278834,0.00242605181399771,0.00847566212163777,-0.0138320427423012,-0.013872266202161,0.028350320945938,0.0193893326519745,-0.016897055376673,-0.0248081563568275,-0.00962164776621858,0.0173909016965387,-0.00552113322478091,-0.00408230799156936,0.0181612659017967,0.0245677741037389,0.00167852536829199,-0.010808410329024,0.0166475925369893,-0.0227299427203851,0.00915547977294558,0.0116621959254874,-0.00986624894964401,-0.029705828905365
"kcOrderingSession",0.534706759206869,0.650072643840436,0.182493595076903,-0.0722733957941138,0.0544077033286421,0.15391977624442,0.0307219148796066,-0.00564852962554429,-0.0311372519676655,-0.0691082653027787,-0.157089589431637,-0.14609354336137,0.0351006035322171,-0.297565295445381,-0.0841473790413828,-0.0349871283582735,-0.000373912879579718,-0.0567109017311024,-0.125124085539507,0.0554265417515854,0.0859045833423491,-0.0507737579766269,0.00481203822903979,-0.00704527649568455,0.0875126208097134,0.0457598110601082,0.0166557254519312,0.0447749019962349,-0.00951782311053956,0.0107931376331293,-0.00288397380169901,0.0328902618785698,0.0185780805182588,-0.00529793800388947,0.00729259133883706,-0.0356430934640103,-0.00324413355695584,-0.033780357631739,0.0265911528660118,0.00606024073540341,-0.0240222781831274,-0.00656673519803074,0.00189501496468711,0.0131945307409009,-0.0148184848920582,0.00823591232766266,-0.0190667554957342,-0.0335526314916049,0.0628893062111945,-0.0200132005956771
"kcOrderingPb",0.118019539999678,0.237382956373719,-0.255904369293362,0.139240029892905,0.770512393725562,-0.294802545472415,-0.0105056794584536,-0.02190802848851,-0.128312342903221,0.0579399814330761,-0.136186970170172,-0.0504667889697749,0.0918971055094797,0.00296549058800578,0.112188971671456,-0.0354177458202128,-0.208779136298028,-0.000873555807292793,0.10570359734196,-0.021580653749165,-0.0222425239132106,-0.0468188673035156,0.0259806272304053,-0.0159144854176584,0.0146164803069592,-0.0800074563784368,0.0358284437483964,0.0150014836167665,-0.00805437642369008,0.00977985253448612,-0.00899129040589799,-0.0127408100682861,-0.000779633986975196,0.0364513136209811,-0.00874387375391747,-0.0265602010218577,0.00569974858036876,-0.00482679140299961,-0.00501108382360956,0.0156990393420816,-0.0147542549631941,0.0293988839058129,0.0137115404434703,0.0208412213742782,-0.00401968326228863,-0.0016187031311934,-0.0152929681038238,-0.00175743473567724,0.00355379697479682,0.000702924311111918
"durationKCBetweenDecision",-0.055511351258637,0.00988853324647798,0.0269323695941225,0.0435281372970894,-0.0820791830732772,0.0350683046382127,0.0342378280044728,5.95708149741214e-05,0.0269404077847951,-0.018251253808992,0.0161496306653864,-0.0424927640645161,0.0350668345126445,0.0990830561887247,0.0863599484591307,-0.00263910122709497,0.0971344176274783,0.031313309158406,-0.020445436490596,-0.00546024224561131,-0.0854515440368883,-0.0313991945293943,0.0164573954338324,0.039272949537115,0.0701835894010913,-0.0157234933488352,0.111694849649084,-0.048077515840102,-0.100276049469599,-0.068687567258844,0.00119920621784873,0.461843332228994,0.163097118019213,-0.0113331064148674,-0.140280866631257,-0.00374836469010876,0.489161023259128,0.366692299994667,-0.412954769478637,0.0121418475293412,-0.0958132719755646,0.0840372736718862,0.0254332079704174,0.251839275306588,0.0522115564120003,-0.0481698947736635,-0.00222990452391233,-0.0560462607703744,0.061813056345777,-0.003167575798587
"timeInSession",0.0157887523761979,0.011236559457092,0.0191429078694937,0.0506254751909662,0.00306238840963191,0.0109282282419212,0.0269164432481358,0.025463147616505,0.00283113250880218,-0.00528383284741049,-0.00905464139862874,-0.0161280940998846,-0.0533844244070283,-0.0456504862829235,-0.0297589995942526,-0.0255645843553053,-0.00549664969879386,-0.019511108119414,-0.0820663942782996,0.0211342727457422,0.00251698521116896,-0.121569792476741,0.00444145301654223,0.0221765368272128,-0.00819929764389381,0.0308568453573394,0.064222582366958,0.0880643110164317,-0.0830917741977316,-0.0123743773460404,0.162863521087334,0.111871681342724,0.11583641004297,0.509046547225775,0.115810836304118,0.608016513921934,-0.365477333229013,0.197403214827302,-0.154643026065028,0.0392138178924133,0.00577033912197494,0.0693867040611476,-0.0472061301090465,-0.10816952570324,0.0584833577179012,-0.0957672065337547,0.00063108175806884,0.0415663436809786,0.0107388268776949,-0.0153810969633767
"timeBetweenSession",0.195506226098352,0.0273643108059574,-0.0179716968363684,0.0311904595765732,-0.066783276730851,-0.0643763229822978,0.0385847298440319,0.0293912899585239,-0.0623026417247702,0.118369003197133,0.147524430993266,0.0526239542270266,-0.0265114213263725,0.486761414859772,0.241654102262428,0.184199014941646,0.0739126323479099,0.110559561513804,0.331234306193544,-0.0192488863918277,-0.101525232949709,0.147293209558987,-0.0260867289123435,0.0450499696094976,-0.110038575828581,0.00154168794489278,-0.0172485451321435,-0.101944421682907,0.028083088947394,0.0599413396507064,-0.0306784973977473,-0.127126194459188,0.0468749309667071,0.00975411994225138,-0.155814188309493,-0.0341149572875374,-0.0310302380883967,-0.00814926741787063,0.023750571987512,-0.0188766760850105,0.0900832288037513,0.0290136835430896,-0.0406256951472549,-0.0296736414410876,-0.0832892921929156,-0.00337996631662927,0.042096529357149,0.114122172239978,0.148548417631548,-0.047889474642703
"timeOnCurrentProblem",0.0420407089681997,-0.124210589008577,0.146793068829866,0.695856135861593,0.0077295592197438,-0.0632065383030368,0.0581096262548449,0.208797651694798,0.0156464081451521,-0.119536838670117,-0.0301948695140211,0.260417511983827,0.312558805569003,-0.147654014969073,0.226026218426842,0.226742580862762,0.0579738565282409,-0.0591923095390449,-0.0963424054024843,-0.107152408488642,-0.032700825390493,0.0169060917505912,0.0357899113652232,-0.00407175301977249,0.0384097542015388,0.0234697350674392,0.0305418576027252,0.00869923605700093,-0.0113925322527429,0.00133435900664234,-0.00685313124626657,0.0224909243978395,0.0119140420895875,0.00418757127933604,-0.0048290820638861,-0.0237933300980742,0.00608292835287525,0.0242078024288192,-0.0560806522177142,0.0507514048250321,0.0235657433086804,0.0019690101807104,-0.00910560243370673,-0.0540408201317,-0.0963152434922586,0.0229370227233079,-0.0079154999515623,0.00480683382399858,-0.00850673428583671,0.00470574028581776
"timeOnTutoring",0.355262205917867,0.133662582622425,0.245543209823091,0.691033507767633,-0.0413634220906375,0.0488287603247758,0.0319433154311161,0.243736413262315,-0.109887972638024,-0.0166222409078379,-0.022661660840724,-0.161223857735172,-0.234639853489062,0.21178012793802,-0.0912995473447667,-0.149484112433587,-0.0307347854197832,0.0200116024170599,0.0056037306362338,-0.047452861585443,-0.158046706023187,-0.00391251966889978,-0.0345942348617173,0.0271845552515228,-0.0342555059352965,-0.0139614841857217,0.00476158720827144,0.000202894238567358,-0.00192688007071526,-0.00655369419315862,-0.0134635284997732,-0.00619824579428863,-0.00989779236780637,-0.00985412435440183,-0.0050683856584421,-0.0114864938392595,-0.00487643328804414,0.0135170833518682,-0.0415519109858687,0.0395198699371937,0.0298115169943473,0.00188985264434499,-0.000281373304008645,-0.0329570057769303,-0.0620819153737802,0.0345391674946858,-0.012204250648204,0.0460910358590213,-0.0518792749272205,-0.0107307346425091
"timeOnTutoringWE",0.0286944501299628,0.189863931991814,0.143232148132657,0.579452023690171,-0.0265880170472073,0.118203305394284,0.090247570528047,-0.422777685470687,-0.00353890445253637,0.0434952055783361,-0.0170009952258243,-0.141256935487944,-0.148478206242767,0.163617060502016,0.0241446928888058,-0.0946571243966985,0.0119636091925394,0.00590531510720543,-0.154879652933839,-0.479622699998383,-0.144669770973142,-0.0144686777855599,0.0173746860537428,7.88751943724084e-05,0.0144470374031811,0.0538655703039716,0.042085149252502,-0.034498648560853,0.00114203242447418,0.0224334718053942,0.0159369083523561,0.0213481004424792,0.011078312984914,0.00587893857630232,-0.00212841720725147,0.00289913368129297,0.0341082541105722,0.00530413714518155,0.017232383712718,-0.00868896271773387,-0.0235885852199455,-0.00629730632503343,0.00155591662439728,0.00930781795210975,-1.16149236347698e-05,-0.00622564869267946,0.000238201707067447,0.0344885564109888,-0.0105616056037129,0.0212631189164003
"timeOnTutoringPS",0.398901369094645,0.0726026695847063,0.222312718523534,0.549351968480781,-0.0363858815068468,0.00538933307785857,-0.00206456613291267,0.46512007278828,-0.125695301068129,-0.0380643188717493,-0.0188813677756532,-0.125543776364311,-0.207419143598164,0.174402297598374,-0.116151971377356,-0.13211434049552,-0.0407606074960457,0.0206140149660128,0.0735007159955886,0.152581389866394,-0.120388667738327,0.00173040745464019,-0.0475702616724028,0.031439707214577,-0.0459113616607477,-0.0394707527184053,-0.0126963730305726,0.0151616670352254,-0.00272504107083946,-0.0172941994786104,-0.022483381677913,-0.0164130522839669,-0.0162528298183448,-0.0139526238477284,-0.00494717783707649,-0.0145532626378073,-0.0204036997580161,0.0133548823845843,-0.0555641747047961,0.0495149720198991,0.0447215179572225,0.00491273791777796,-0.000998978201440855,-0.04218435914499,-0.0718724035088339,0.0426825775318396,-0.0142329466541919,0.0384410567789265,-0.0554952182776985,-0.0216239244226938
"timeOnTutoringKC",0.190010558916628,0.0878352136974109,0.191882141634205,0.620537983603076,-0.0247327512951463,0.0994158280279621,0.107762954382119,-0.265744574328737,-0.065042605527262,0.0341331542329623,-0.0206158826981444,-0.169740727170186,-0.249761824337573,0.215359333638401,-0.00178596378271933,-0.130526244743731,0.00411054559177534,0.0808894425132533,0.000875384900279593,-0.395807731305465,0.220437303698287,0.0325473545702494,0.104900632762646,-0.0153432721401643,0.0583887093921533,0.0582563445309882,0.053389405133868,-0.0102494646790243,-0.016443502593618,-0.00546474557517762,0.0150245378566651,-0.0107060236011626,-0.0114532442081868,-0.000733644860089739,0.00911825814740841,-0.0154951187893493,-0.0126831913639815,-0.00525851537678677,-0.0343729318998903,0.050014939931643,0.0237551988988524,-0.00571432135301761,-0.00839303877273352,-0.0600110012812933,-0.0739930716722528,0.0101740038661701,0.0143888965299991,-0.0530243159677607,-0.000189363482257809,0.0198913063529732
"timeOnTutoringKCWE",0.0460993577374952,0.0912006114087029,0.134219284587311,0.554000752007,-0.0158429295799969,0.113677555352757,0.110591214848884,-0.462411837662818,0.00508590017719981,0.0439773670785995,-0.0237956106538118,-0.138380051669196,-0.142866328421692,0.119828132678885,-0.00936401337978186,-0.111794046277094,0.00268035210543653,0.00755334236944544,-0.1718048802474,-0.517245628494254,-0.0995462774812667,-0.0123926669037079,-0.00634083437138779,0.00788340455513407,0.00312897282732465,0.0492049363782224,0.047705936503116,-0.018340573696661,0.0049577306558604,0.0178111919409669,0.0307402410418078,-0.0292401133256885,-0.0181341507917197,0.0103642632432957,0.0138900509829018,0.00497278671429442,0.0238122235348639,-0.0221511482504012,0.0424487600363016,-0.016073112640077,-0.0230207604273106,-0.00408760568240581,0.0101906140539756,0.00811363414350526,0.0294051052908584,-0.00516112954030464,-0.000296160383229834,0.0108743711470157,-0.015125525583345,0.0284933860342163
"timeOnTutoringKCPS",0.274483518465894,0.0243143349430541,0.148530660925889,0.304317356523426,-0.0212836947788929,0.0121800172441193,0.0317395147304321,0.200118946554392,-0.124581354023218,-0.00307918178764687,-0.00219957383264058,-0.102556006465274,-0.240060102466831,0.211924440053199,0.0105265686917585,-0.0709624351278953,0.00346792858946503,0.134566502660577,0.253713326231054,0.0463967338510315,0.543017051777267,0.0767928155906784,0.198192462953451,-0.0391970048835687,0.100544208515832,0.0326857923208389,0.0261221547763695,0.00846077366921833,-0.0368844532592265,-0.0359792780826766,-0.0180601340391012,0.0236346078912767,0.00599027536621943,-0.0165313860230721,-0.00396616359503873,-0.0351988647891789,-0.0577839810551549,0.0230399219885575,-0.124189662426521,0.113646743355578,0.0765589902994296,-0.0042904741357502,-0.0300682450937068,-0.119964753416777,-0.176388128564591,0.0258939354170078,0.026343657828077,-0.111435944358705,0.0218569178236879,-0.00599946950476186
"avgTimeOnStep",0.0043031742708556,-0.220613456660958,0.224497445475835,0.853249597984783,-0.0415236944332152,0.034419201680801,0.0663185349771163,0.130275302509088,0.077753797744661,-0.00699992791620731,0.0361851418881055,0.0123282254564436,-0.0559946153451372,0.00674322729749664,-0.0622132146572834,-0.0567592004236983,-0.0121999002232913,0.017380590314801,0.0813023117006931,0.162509546414927,-0.00298151625730782,-0.0247640025761239,-0.0347536881789946,-0.00163627498789536,-0.0409248792570201,-0.0378279561815387,-0.0290972605253095,0.0064591580536216,0.000634166971843529,-0.0208068078131448,-0.00424841143534041,-0.0123716298168686,-0.0044344970657581,-0.00964566229507773,-0.00236784206975066,0.0114252435566,0.0132023411570434,-0.0192259167500666,0.0259678237907339,-0.0554358473268852,-0.0187903121249447,0.0142349162621932,-0.00305670632542179,0.0485040643354618,0.0947483957953846,-0.0578951257821921,0.0291941162155683,-0.0561686025102993,0.0499866906011727,0.0214035939682755
"avgTimeOnStepWE",-0.046152596162995,-0.0285197536303608,0.121941251594458,0.599628366300991,-0.0372312127427952,0.087877707909728,0.185697263217982,-0.668613373722451,0.10322102030839,0.0789640840749128,0.0422881692927097,0.0128335727180167,0.0644662752618272,-0.0299757796097627,-0.053094855683906,0.0027225287202575,-0.0194443387196301,-0.00538142242814745,0.0603570611549038,0.206978356634005,-0.0296823800667065,0.0170251614626619,-0.0242819054674157,0.00547232077146537,-0.019338341128127,-0.0170522416301177,-0.0189909380377875,-0.00444787671451176,0.00498630630362557,0.00356628279811452,0.00477373630278713,-0.0331328248455632,-0.013557570528105,-0.00176916307241423,0.00548221019576699,0.00946033058413599,-0.0114935184223418,-0.0129953611970575,0.0290900415145404,-0.0400398434779943,-0.0176606328372614,0.00602923133184821,0.00779413821498969,0.048654444236908,0.126471863406179,-0.0434922510707147,0.0121173047218971,-0.0681699576271448,0.0128290809845643,-0.033219252443783
"avgTimeOnStepPS",0.0454324803068436,-0.131733221345877,0.172842576156986,0.621913991917898,0.0109235408060863,0.0455075159729533,-0.161379838599364,0.523267859147899,-0.00112635814252953,-0.0737412513244689,0.00358299919805166,-0.0446944247750969,-0.171191390468166,0.0122213481734558,-0.107645991698926,-0.124869316972654,-0.0292577524725554,0.0340212860483568,0.0921323156469891,0.193537208132386,-0.0384721797456493,-0.0281630392533781,-0.0552164098551841,0.0493103851710667,-0.127439414699077,-0.095801759941757,-0.0683509829151058,0.00912212916678463,0.0263924538596456,0.0407379020671417,-0.0244547129461582,0.0159258343050851,0.0302706667697147,0.00769525423673766,-0.0338293610992812,0.0203485368832018,0.0362901568282774,-0.0165290122560979,0.037436731488465,-0.0666394880191826,-0.00374615651699814,0.0210183216096483,0.00754069903823641,0.0292855097245777,0.0280232804484286,-0.0476189029304306,0.00512242230331145,0.0260696394302394,0.046014966640362,0.0486770111123921
