"","mean","sd"
"ntellsSinceElicit",19.0951035781544,51.7065818993489
"ntellsSinceElicitKC",13.4298493408663,30.5735721219927
"nElicitSinceTell",23.0627746390458,68.5895035359916
"nElicitSinceTellKC",12.0839610797238,35.0205986447077
"pctElicit",0.556514593220339,0.250950206896212
"pctElicitKC",0.483687614249843,0.274605988826917
"pctElicitSession",0.556514593220339,0.250950206896212
"pctElicitKCSession",0.483687614249843,0.274605988826917
"nTellSession",100.437225360954,81.0747070857796
"nTellKCSession",63.9585687382298,52.1752011841567
"kcOrdering",117.167294413057,68.3990636236508
"kcOrderingSession",100.161016949153,66.3765777221188
"kcOrderingPb",18.4526051475204,7.09465441670733
"durationKCBetweenDecision",9.92153170119272,62.3762900808632
"timeInSession",3449.01443816698,104306.717977477
"timeBetweenSession",181032780.06811,476806107.186313
"timeOnCurrentProblem",885.096202134338,2009.89597168302
"timeOnTutoring",5209.70009416196,7112.41585772441
"timeOnTutoringWE",911.358913998744,2657.98891006245
"timeOnTutoringPS",4298.34118016321,6143.13012350981
"timeOnTutoringKC",1374.10812931576,3010.21249856759
"timeOnTutoringKCWE",529.408662900188,2453.43694981457
"timeOnTutoringKCPS",844.699466415568,1671.75899755079
"avgTimeOnStep",26.9848302165725,38.7451077079685
"avgTimeOnStepWE",9.24499769695543,46.8985778214832
"avgTimeOnStepPS",39.9164635858443,66.4253270731986
"avgTimeOnStepKC",13.6598834460138,41.8028420586196
"avgTimeOnStepKCWE",9.71901292906466,110.121054884959
"avgTimeOnStepKCPS",18.2815567059008,44.1381833787063
"timeOnLastStepKCPS",9.3006905210295,115.148752774715
"timeOnTutoringSession",4101.8485561833,6302.60539620179
"timeOnTutoringSessionWE",725.173414940364,2323.80037893238
"timeOnTutoringSessionPS",3376.67514124294,5527.87979577163
"avgTimeOnStepSession",26.0453933199937,40.2223454288373
"avgTimeOnStepSessionWE",8.62202792608286,46.5361326513397
"avgTimeOnStepSessionPS",38.5512133989328,69.2851059713119
"timeOnTutoringProblem",766.094161958569,1895.64548231379
"timeOnTutoringProblemWE",125.719240426868,718.746677768252
"timeOnTutoringProblemPS",640.374921531701,1748.03617538707
"avgTimeOnStepProblem",24.9443517085687,56.3466653130138
"avgTimeOnStepProblemWE",6.63200468957941,48.5380837568771
"avgTimeOnStepProblemPS",31.8488711548964,78.3058957371298
"nTotalHint",14.8402385436284,109.093569473465
"nTotalHintSession",13.682831136221,106.658839247372
"nHintKC",2.40646578782172,28.3926856972027
"nHintSessionKC",2.33129315756434,28.0088939171568
"nTotalHintProblem",2.87099811676083,23.2935649487042
"AvgTimeOnStepWithHint",214.149931305869,405.885610932047
"AvgTimeOnStepWithHintKC",3.2026562289705,42.8529189533606
"durationSinceLastHint",17977.0312303829,92713.8285043782
"durationSinceLastHintKC",2185.30649717514,26708.5841656244
"stepsSinceLastHint",145.043157564344,126.257154708163
"stepsSinceLastHintKC",113.346986817326,69.0622409642538
"totalTimeStepsHint",670.039391086001,1517.40850939503
"totalStepsHint",3.90317011927181,22.2410816453517
"nKCs",117.166823603264,68.3983384700524
"nKCsAsPS",53.2082548650345,43.9219007039697
"nKCsSession",100.16054613936,66.376248985129
"nKCsSessionPS",44.4599811676083,39.3924325372523
"nPrincipleInProblem",6.08333333333333,3.09481695915506
"quantitativeDegree",0.353341381042059,0.0104246912759938
"nTutorConceptsSession",211.729755178908,173.436229402024
"tutAverageConcepts",1.14743751302574,0.466459217220079
"tutAverageConceptsSession",1.15796338700565,0.50919935668386
"tutConceptsToWords",0.0327765117702448,0.00639051601608439
