"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",29.3319864922948,16.1164760946674,16.1164760946674
"comp 2",22.1324897736838,12.1607086668592,28.2771847615266
"comp 3",13.5142478862749,7.42541092652466,35.7025956880513
"comp 4",10.3528297709686,5.68836800602668,41.3909636940779
"comp 5",9.46893867625094,5.20271355837962,46.5936772524576
"comp 6",7.09875078952774,3.90041252171852,50.4940897741761
"comp 7",5.60223184280508,3.0781493641786,53.5722391383547
"comp 8",5.08074056255937,2.79161569371393,56.3638548320686
"comp 9",4.3823395842932,2.40787889246878,58.7717337245374
"comp 10",3.56237256369494,1.95734756246974,60.7290812870071
"comp 11",3.15814451981386,1.73524424165596,62.4643255286631
"comp 12",3.01696971107456,1.65767566542557,64.1220011940887
"comp 13",2.75266915072359,1.51245557732065,65.6344567714093
"comp 14",2.56783114209669,1.41089623192125,67.0453530033306
"comp 15",2.48617065801759,1.3660278340756,68.4113808374062
"comp 16",2.41854117024626,1.32886877486057,69.7402496122668
"comp 17",2.2111508833255,1.21491806776126,70.955167680028
"comp 18",2.15461440341966,1.183854067813,72.139021747841
"comp 19",2.03022771608372,1.11550973411193,73.2545314819529
"comp 20",1.95263670680984,1.07287731143398,74.3274087933869
"comp 21",1.83598869074058,1.0087849949124,75.3361937882993
"comp 22",1.74233009017253,0.957324225369518,76.2935180136688
"comp 23",1.68402460064868,0.925288242114656,77.2188062557835
"comp 24",1.54753862948514,0.850295950266557,78.06910220605
"comp 25",1.47270544723592,0.80917881716259,78.8782810232126
"comp 26",1.36773838769167,0.751504608621796,79.6297856318344
"comp 27",1.34690919541514,0.740059997480846,80.3698456293153
"comp 28",1.27107654129717,0.698393704009434,81.0682393333247
"comp 29",1.21710439237407,0.66873867712861,81.7369780104533
"comp 30",1.20835774486567,0.663932826849265,82.4009108373026
"comp 31",1.12731294378398,0.619402716364823,83.0203135536674
"comp 32",1.09517379031301,0.601743840831323,83.6220573944987
"comp 33",1.07338895966452,0.589774153661822,84.2118315481606
"comp 34",1.02842126922408,0.565066631441797,84.7768981796024
"comp 35",1.01235725742678,0.556240251333393,85.3331384309357
"comp 36",0.988483793095676,0.543122963239381,85.8762613941751
"comp 37",0.970253714033466,0.533106436282122,86.4093678304573
"comp 38",0.949688891380088,0.52180708317587,86.9311749136331
"comp 39",0.94360359624008,0.518463514417625,87.4496384280507
"comp 40",0.92022677228354,0.505619105650295,87.955257533701
"comp 41",0.891100732812303,0.489615787259505,88.4448733209606
"comp 42",0.879873800279278,0.48344714301059,88.9283204639711
"comp 43",0.86373027558209,0.474577074495652,89.4028975384668
"comp 44",0.849363422206973,0.466683199014819,89.8695807374816
"comp 45",0.811810806396118,0.446049893624239,90.3156306311058
"comp 46",0.791908943765893,0.435114804266972,90.7507454353728
"comp 47",0.757543821726632,0.416232869080565,91.1669783044534
"comp 48",0.735978178418254,0.404383614515523,91.5713619189689
"comp 49",0.725911189259445,0.398852301790902,91.9702142207598
"comp 50",0.705394032673923,0.387579138831824,92.3577933595916
