recordID,time,student,problem,decisionID,decisionPoint,priorTutorAction,KC,session,substepOrdering,reward,avgTimeOnStep,nTellSession
25,12/1/14 12:01,143279,ex222,0,probEnd,WE,select_main_step,0,38,0,9.181818,22
45,12/1/14 12:10,143279,exc137,0,probEnd,WE,select_main_step,0,71,0,16.525,27
79,12/1/14 12:14,143279,ex132a,0,probEnd,WE,select_main_step,0,130,0,10.930556,59
121,12/1/14 12:16,143279,ex132,0,probEnd,WE,select_main_step,0,203,0,7.660714,99
160,12/1/14 12:16,143279,ex152a,0,probEnd,WE,select_main_step,0,271,0,5.959732,136
216,12/1/14 12:29,143279,ex152b,0,probEnd,WE,select_main_step,0,364,0,7.763547,157
277,12/1/14 12:41,143279,ex152,0,probEnd,WE,select_main_step,0,466,0,8.538168,181
295,12/1/14 12:50,143279,ex144,0,probEnd,WE,select_main_step,0,498,0,9.338129,186
323,12/1/14 12:56,143279,ex212,0,probEnd,WE,select_main_step,0,546,0,9.552632,195
354,12/1/14 13:05,143279,ex242,0,probEnd,WE,select_main_step,0,599,0,10.192192,206
370,12/1/14 13:11,143279,ex252a,0,probEnd,WE,select_main_step,0,625,0,10.720461,209
418,12/1/14 13:11,143279,ex252,0,probEnd,WE,select_main_step,0,709,47.6048,9.541985,255
445,12/2/14 22:05,143282,ex222,39,probEnd,PS,select_main_step,0,753,0,11.173913,11
465,12/2/14 22:10,143282,exc137,64,probEnd,PS,select_main_step,0,790,0,8.390244,24
499,12/2/14 22:18,143282,ex132a,100,probEnd,WE,select_main_step,0,854,0,10.671233,44
547,12/2/14 22:32,143282,ex132,101,probEnd,WE,select_main_step,0,933,0,13.05042,61
586,12/2/14 22:33,143282,ex152a,101,probEnd,WE,select_main_step,0,1001,0,10.237179,98
641,12/2/14 22:43,143282,ex152b,156,probEnd,WE,select_main_step,0,1102,0,10.114833,124
701,12/3/14 0:37,143282,ex152,224,probEnd,WE,select_main_step,0,1216,0,33.29588,154
719,12/3/14 2:26,143282,ex144,226,probEnd,WE,select_main_step,0,1248,0,33.39576,159
746,12/3/14 2:38,143282,ex212,251,probEnd,PS,select_main_step,0,1298,0,32.126623,169
782,12/3/14 2:48,143282,ex242,253,probEnd,WE,select_main_step,0,1359,0,30.494152,182
798,12/3/14 3:33,143282,ex252a,266,probEnd,PS,select_main_step,0,1387,0,36.797753,189
852,12/3/14 18:42,143282,ex252,270,probEnd,WE,select_main_step,0,1477,44,35.073529,210
879,12/3/14 7:32,143284,ex222,309,probEnd,PS,select_main_step,0,1523,0,18.26087,10
899,12/3/14 8:14,143284,exc137,315,probEnd,WE,select_main_step,0,1557,0,66.658537,15
936,12/3/14 8:35,143284,ex132a,350,probEnd,PS,select_main_step,0,1624,0,50.447368,27
